keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[192, 205], [253, 208], [211, 212], [232, 213], [222, 213], [234, 202], [197, 213], [258, 202]]",76,0.133935,0.024637,0.028441,"[ 3.53277744e-03 -1.33793189e-03  1.01588358e-05 -1.77534933e-07
  5.67500144e-08 -3.71263685e-06]",0.066096,0
"[[192, 205], [253, 209], [211, 212], [231, 213], [222, 213], [234, 203], [197, 214], [258, 202]]",77,0.132945,0.024906,0.028609,"[ 3.76237790e-03 -2.26597269e-03  3.53997768e-07 -9.11392914e-08
  1.33486684e-08  6.70370720e-06]",0.066841,0
"[[192, 205], [252, 209], [210, 212], [231, 213], [221, 213], [234, 203], [196, 214], [257, 202]]",78,0.133023,0.02319,0.027173,"[ 3.88963712e-03 -6.81049171e-03 -2.75902408e-05  1.22381538e-08
 -1.72005769e-07  4.58663149e-05]",0.065752,0
"[[191, 206], [252, 210], [209, 213], [231, 214], [220, 214], [233, 203], [195, 214], [257, 203]]",79,0.138465,0.024576,0.031825,"[ 2.97748589e-03 -5.38199136e-03 -1.43506180e-05 -7.85393119e-08
 -6.99877233e-08  3.04242289e-05]",0.066138,0
"[[191, 206], [251, 209], [210, 213], [230, 214], [220, 214], [233, 204], [195, 215], [256, 203]]",80,0.137293,0.02552,0.032401,"[ 3.44475476e-03 -5.45831810e-03 -2.57897434e-05  3.03550682e-08
 -1.57901162e-07  3.53420410e-05]",0.065874,0
"[[191, 207], [250, 210], [209, 214], [229, 214], [219, 215], [231, 205], [194, 215], [256, 204]]",81,0.12381,0.024978,0.029034,"[ 3.58320646e-03 -1.24151300e-03 -1.67990737e-05  1.95710964e-07
 -1.60661659e-08  6.05074374e-06]",0.055752,0
"[[190, 207], [251, 211], [209, 214], [229, 215], [219, 216], [232, 206], [195, 216], [256, 204]]",82,0.133567,0.024689,0.028383,"[ 3.22232445e-03 -2.03998227e-03 -4.20407702e-06 -4.39236356e-08
 -2.83033237e-10  1.06124404e-05]",0.065641,0
"[[190, 207], [249, 211], [208, 214], [228, 215], [218, 215], [231, 205], [194, 216], [255, 205]]",83,0.135934,0.026682,0.03071,"[ 4.40507271e-03 -5.95208751e-03 -3.37967074e-05  1.60258709e-07
 -1.79674735e-07  5.30607383e-05]",0.06593,0
"[[189, 208], [249, 211], [208, 215], [228, 215], [218, 216], [230, 205], [194, 216], [255, 205]]",84,0.139778,0.024039,0.027765,"[ 2.98214991e-03  8.97239673e-04  6.23575001e-06 -2.98261868e-08
  6.99351791e-08 -1.14803748e-05]",0.072012,0
"[[189, 208], [249, 212], [208, 216], [228, 216], [218, 217], [230, 206], [193, 217], [254, 205]]",85,0.124033,0.023588,0.028067,"[ 3.17047387e-03 -3.99500239e-03 -4.04037797e-06 -2.22742034e-07
 -1.04243566e-07  3.13936715e-05]",0.05656,0
