keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[204, 202], [269, 209], [226, 210], [210, 194], [273, 198], [230, 201], [221, 195], [236, 210], [251, 202], [241, 202], [254, 192], [215, 203], [260, 209], [278, 191], [216, 212], [244, 193], [278, 207], [263, 193], [206, 210], [233, 194]]",47,0.138882,0.027715,0.031968,"[ 7.26114108e-03 -5.37366555e-03 -9.27551111e-06  6.14723759e-08
  7.28830585e-08 -7.33880615e-06]",0.067594,0
"[[203, 203], [268, 209], [224, 210], [210, 195], [272, 200], [229, 202], [220, 196], [234, 211], [249, 203], [240, 203], [253, 193], [214, 204], [258, 209], [277, 192], [214, 213], [243, 194], [276, 208], [262, 195], [205, 211], [232, 194]]",48,0.137081,0.02744,0.031111,"[ 7.20051803e-03 -6.39193892e-03 -2.45147126e-05  2.20408569e-07
  1.78646403e-08  5.25398425e-06]",0.069007,0
"[[202, 203], [267, 209], [224, 211], [209, 196], [271, 200], [229, 203], [220, 196], [233, 211], [248, 203], [239, 204], [252, 193], [213, 204], [257, 209], [276, 193], [214, 213], [242, 194], [276, 208], [261, 195], [205, 212], [232, 195]]",49,0.126898,0.024709,0.029097,"[ 7.19578627e-03 -4.77090474e-03 -1.83651846e-05  2.09290904e-07
  4.54171313e-08 -6.11491179e-06]",0.056776,0
"[[202, 204], [267, 210], [224, 212], [209, 197], [271, 201], [229, 203], [220, 197], [234, 212], [249, 204], [239, 205], [252, 195], [213, 205], [257, 210], [275, 194], [214, 214], [243, 195], [275, 209], [261, 196], [204, 213], [232, 196]]",50,0.135972,0.025933,0.029955,"[ 7.38035951e-03 -5.46440233e-03 -2.41476612e-05  2.32536939e-07
  6.09369441e-09  3.24727610e-06]",0.067585,0
"[[201, 204], [266, 211], [223, 213], [208, 197], [270, 202], [228, 204], [219, 198], [233, 213], [248, 205], [238, 205], [252, 195], [212, 205], [256, 211], [274, 194], [213, 215], [242, 196], [274, 210], [261, 197], [203, 213], [231, 196]]",51,0.135689,0.026452,0.030692,"[ 7.17229279e-03 -7.86773943e-03 -3.07619543e-05  1.83170124e-07
 -5.50662255e-08  2.47479649e-05]",0.067321,0
"[[200, 205], [265, 212], [223, 213], [207, 198], [269, 202], [226, 204], [218, 198], [233, 214], [247, 205], [237, 206], [250, 195], [211, 206], [256, 212], [273, 195], [212, 215], [241, 196], [273, 210], [259, 197], [202, 214], [230, 197]]",52,0.124828,0.027114,0.030952,"[ 6.89162828e-03 -5.96465926e-03 -1.73510961e-05  7.85693636e-08
 -5.00065832e-09  1.02419726e-05]",0.056492,0
"[[200, 206], [264, 212], [221, 214], [206, 199], [268, 203], [225, 205], [217, 199], [230, 214], [246, 206], [236, 206], [249, 196], [210, 207], [255, 212], [272, 196], [211, 216], [239, 197], [273, 212], [258, 198], [202, 215], [229, 197]]",53,0.137416,0.026595,0.030845,"[ 6.79108353e-03 -4.53862275e-03 -1.36725710e-05  1.13708470e-07
  3.57688766e-08  1.81639418e-06]",0.066898,0
"[[199, 207], [263, 213], [220, 215], [205, 199], [266, 203], [224, 206], [216, 200], [229, 215], [244, 206], [235, 207], [248, 197], [209, 208], [253, 213], [272, 196], [210, 217], [238, 197], [272, 212], [257, 198], [201, 216], [227, 198]]",54,0.134218,0.025394,0.030084,"[ 5.80645046e-03 -5.49794673e-03 -2.11051981e-05  9.61180321e-08
 -2.87691867e-08  6.37328534e-06]",0.067152,0
"[[198, 207], [262, 214], [220, 216], [205, 200], [266, 204], [224, 206], [215, 200], [229, 216], [244, 207], [234, 208], [247, 197], [209, 208], [252, 214], [271, 197], [210, 217], [238, 198], [271, 213], [256, 199], [200, 216], [227, 199]]",55,0.136558,0.025783,0.02972,"[ 6.78858371e-03 -6.14926609e-03 -1.85964562e-05  5.34566886e-08
 -4.30228016e-08  2.12929867e-05]",0.066978,0
"[[198, 207], [261, 214], [219, 216], [204, 200], [266, 205], [223, 207], [215, 201], [228, 216], [243, 208], [234, 208], [247, 198], [208, 209], [251, 214], [270, 197], [209, 218], [237, 199], [270, 213], [256, 200], [200, 217], [226, 199]]",56,0.124591,0.025486,0.029639,"[ 6.54351622e-03 -5.78673047e-03 -2.34620156e-05  1.32281960e-07
 -4.86213070e-08  1.90391333e-05]",0.056796,0
"[[196, 208], [261, 215], [219, 217], [203, 201], [265, 206], [222, 208], [213, 202], [228, 217], [243, 209], [233, 209], [246, 199], [207, 210], [252, 215], [269, 198], [209, 219], [236, 200], [270, 214], [255, 201], [199, 217], [225, 200]]",57,0.145299,0.026591,0.03049,"[ 6.09521813e-03 -1.37513990e-03  4.52845237e-06  1.00474161e-08
  1.31250085e-07 -1.63598081e-05]",0.076676,0
"[[195, 209], [260, 216], [218, 218], [202, 202], [263, 205], [221, 208], [212, 202], [228, 218], [242, 210], [232, 210], [244, 199], [206, 210], [251, 216], [268, 199], [207, 219], [235, 200], [268, 215], [253, 200], [198, 218], [224, 201]]",58,0.127092,0.027879,0.031658,"[ 5.81892024e-03 -3.12244702e-03  7.86138324e-07 -8.93709260e-08
  4.47464947e-08 -6.13379944e-07]",0.056769,1
"[[195, 209], [260, 216], [218, 218], [202, 202], [262, 205], [221, 209], [213, 202], [227, 218], [242, 210], [232, 210], [244, 199], [206, 210], [251, 216], [268, 199], [207, 220], [235, 200], [268, 215], [253, 200], [197, 218], [224, 201]]",59,0.138573,0.027129,0.030793,"[ 5.57962761e-03 -4.96596055e-03 -1.07275738e-05 -6.03894332e-08
 -3.17750197e-08  1.29659894e-05]",0.070259,1
"[[195, 209], [258, 216], [216, 218], [201, 202], [262, 206], [220, 209], [211, 203], [225, 218], [240, 210], [230, 210], [243, 200], [205, 211], [249, 216], [267, 199], [206, 220], [233, 201], [267, 215], [252, 201], [197, 219], [222, 201]]",60,0.140045,0.025457,0.032579,"[ 5.56551632e-03 -2.52066051e-03 -5.05226955e-06  1.89936056e-08
  3.64655124e-08 -3.37090593e-06]",0.070903,0
"[[194, 210], [257, 217], [215, 219], [200, 203], [261, 206], [219, 209], [211, 203], [224, 219], [239, 210], [229, 211], [242, 200], [204, 211], [247, 217], [267, 200], [206, 221], [233, 201], [266, 216], [251, 202], [196, 219], [222, 202]]",61,0.114454,0.024664,0.029392,"[ 5.56588584e-03 -5.34691811e-03 -1.90437671e-05  3.35569841e-08
 -6.89641715e-08  2.24952272e-05]",0.046022,0
"[[193, 211], [257, 217], [215, 219], [200, 203], [261, 207], [219, 210], [211, 204], [224, 219], [239, 211], [230, 211], [242, 201], [204, 212], [247, 217], [266, 201], [205, 221], [233, 202], [266, 216], [251, 202], [196, 220], [222, 202]]",62,0.136099,0.025876,0.030129,"[ 5.28942384e-03 -4.13821264e-03 -1.99240189e-05  1.08166922e-07
 -3.94010657e-08  1.20449976e-05]",0.067127,0
"[[193, 212], [257, 218], [214, 220], [199, 204], [261, 208], [218, 211], [209, 205], [223, 220], [238, 212], [228, 212], [241, 202], [203, 213], [247, 218], [265, 201], [204, 222], [232, 202], [266, 217], [251, 203], [195, 220], [221, 203]]",63,0.143312,0.026131,0.030089,"[ 4.39272081e-03 -2.26556564e-03 -9.11259076e-06  5.86280171e-08
  4.67957940e-08 -6.00902946e-06]",0.073639,0
"[[192, 212], [256, 219], [214, 220], [199, 204], [260, 209], [218, 211], [209, 205], [224, 221], [238, 212], [228, 212], [241, 202], [203, 213], [246, 219], [264, 201], [204, 222], [232, 203], [265, 218], [250, 204], [194, 221], [221, 203]]",64,0.13398,0.02551,0.029281,"[ 5.46474906e-03 -5.07752849e-03 -1.35797965e-05 -3.84463015e-08
 -5.50478122e-08  2.61274219e-05]",0.063567,0
