keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[224, 169], [288, 182], [245, 182], [264, 169], [256, 183], [268, 179], [228, 177], [293, 166]]",57,0.134654,0.024498,0.028375,"[-2.91909823e-03 -5.79995065e-02 -1.71731653e-04 -1.36777288e-06
 -1.44680166e-06  3.23149852e-04]",0.066825,0
"[[225, 169], [289, 182], [245, 182], [264, 169], [256, 183], [268, 179], [228, 177], [293, 166]]",58,0.135161,0.024884,0.028669,"[-2.50702074e-03 -5.73000286e-02 -1.65816619e-04 -1.38941947e-06
 -1.41241363e-06  3.18942208e-04]",0.066925,0
"[[225, 169], [289, 182], [245, 182], [265, 169], [256, 183], [268, 180], [229, 177], [293, 166]]",59,0.135103,0.024585,0.028547,"[-3.49729771e-03 -6.05625681e-02 -1.85930942e-04 -1.36827660e-06
 -1.54837473e-06  3.41819997e-04]",0.067271,0
"[[225, 169], [289, 182], [245, 182], [265, 170], [256, 183], [268, 180], [229, 177], [293, 166]]",60,0.134185,0.023302,0.027882,"[-2.80153677e-03 -5.88695901e-02 -1.79050494e-04 -1.31418187e-06
 -1.48527964e-06  3.31006929e-04]",0.066693,0
"[[225, 169], [289, 182], [246, 182], [265, 170], [256, 183], [269, 180], [229, 178], [293, 166]]",61,0.135051,0.02513,0.028922,"[-2.15091807e-03 -5.73023286e-02 -1.67247988e-04 -1.37703266e-06
 -1.43006826e-06  3.20555440e-04]",0.06719,0
"[[225, 169], [289, 182], [245, 183], [265, 170], [256, 183], [269, 180], [229, 178], [293, 166]]",62,0.135296,0.025327,0.029112,"[-2.73422631e-03 -5.82200019e-02 -1.74903744e-04 -1.33692827e-06
 -1.46230484e-06  3.25524927e-04]",0.067214,0
"[[225, 169], [289, 182], [246, 183], [266, 170], [257, 183], [269, 180], [230, 178], [293, 166]]",63,0.124703,0.024618,0.028414,"[-2.31063228e-03 -5.80955691e-02 -1.72944569e-04 -1.38156319e-06
 -1.48010014e-06  3.26087296e-04]",0.05708,0
"[[225, 170], [289, 182], [246, 183], [266, 170], [257, 183], [269, 180], [230, 178], [293, 166]]",64,0.135061,0.024334,0.028142,"[-2.63107371e-03 -5.84919554e-02 -1.75873751e-04 -1.38696403e-06
 -1.50148198e-06  3.27755551e-04]",0.067702,0
"[[225, 170], [289, 182], [246, 183], [266, 171], [257, 183], [269, 180], [230, 178], [293, 167]]",65,0.134891,0.024581,0.028468,"[-1.25561751e-03 -5.56371018e-02 -1.60755530e-04 -1.34505648e-06
 -1.38919339e-06  3.10901748e-04]",0.066935,0
"[[225, 170], [289, 182], [246, 183], [266, 171], [257, 183], [269, 180], [230, 178], [293, 167]]",66,0.134568,0.02338,0.02789,"[-1.25561751e-03 -5.56371018e-02 -1.60755530e-04 -1.34505648e-06
 -1.38919339e-06  3.10901748e-04]",0.066844,0
"[[226, 170], [289, 182], [246, 183], [267, 171], [257, 183], [269, 180], [230, 178], [293, 167]]",67,0.137599,0.025092,0.028909,"[-1.95700122e-03 -5.85310232e-02 -1.82049713e-04 -1.25215109e-06
 -1.51060639e-06  3.32042800e-04]",0.070132,0
"[[226, 170], [290, 183], [246, 183], [267, 171], [257, 184], [270, 180], [230, 178], [293, 167]]",68,0.123951,0.023918,0.027785,"[-1.54867977e-03 -5.70083454e-02 -1.66581573e-04 -1.35486079e-06
 -1.42484262e-06  3.20690569e-04]",0.056686,0
"[[226, 170], [290, 183], [246, 183], [267, 171], [258, 184], [270, 180], [231, 178], [294, 167]]",69,0.133849,0.024627,0.0284,"[-1.73143464e-03 -5.72533892e-02 -1.70459925e-04 -1.31470993e-06
 -1.43294514e-06  3.21075111e-04]",0.066734,0
"[[226, 170], [290, 183], [247, 183], [268, 171], [258, 184], [270, 180], [231, 178], [294, 167]]",70,0.135508,0.024913,0.028739,"[-2.04494945e-03 -5.81327573e-02 -1.76946427e-04 -1.30188620e-06
 -1.47542461e-06  3.26551286e-04]",0.067186,0
"[[226, 170], [290, 183], [247, 183], [268, 171], [258, 184], [270, 180], [231, 178], [294, 167]]",71,0.134674,0.024206,0.028301,"[-2.04494945e-03 -5.81327573e-02 -1.76946427e-04 -1.30188620e-06
 -1.47542461e-06  3.26551286e-04]",0.066784,0
"[[226, 170], [290, 183], [247, 183], [268, 171], [258, 184], [270, 180], [231, 178], [294, 167]]",72,0.133989,0.023358,0.027916,"[-2.04494945e-03 -5.81327573e-02 -1.76946427e-04 -1.30188620e-06
 -1.47542461e-06  3.26551286e-04]",0.06631,0
"[[226, 170], [290, 183], [247, 183], [268, 171], [258, 184], [270, 180], [231, 178], [294, 167]]",73,0.134042,0.024916,0.028709,"[-2.04494945e-03 -5.81327573e-02 -1.76946427e-04 -1.30188620e-06
 -1.47542461e-06  3.26551286e-04]",0.066643,0
"[[226, 170], [290, 183], [247, 183], [268, 171], [258, 184], [270, 180], [231, 179], [294, 168]]",74,0.133354,0.023986,0.027785,"[-1.37898011e-03 -5.66867760e-02 -1.68600189e-04 -1.29920155e-06
 -1.42073448e-06  3.17940104e-04]",0.066873,0
"[[227, 171], [291, 183], [247, 183], [268, 171], [258, 184], [270, 180], [231, 179], [295, 168]]",75,0.136281,0.02541,0.029226,"[-2.09879319e-03 -5.73670208e-02 -1.76631937e-04 -1.22656472e-06
 -1.43205312e-06  3.19022217e-04]",0.068131,0
"[[227, 171], [291, 183], [248, 183], [269, 171], [259, 184], [271, 180], [232, 179], [295, 168]]",76,0.124946,0.024934,0.028739,"[-1.65725421e-03 -5.72428570e-02 -1.72874196e-04 -1.29599161e-06
 -1.44260306e-06  3.19460567e-04]",0.056479,0
"[[227, 171], [291, 183], [248, 183], [269, 172], [259, 184], [271, 181], [232, 179], [295, 168]]",77,0.134757,0.024378,0.028387,"[-1.47344694e-03 -5.70569973e-02 -1.72337256e-04 -1.27804103e-06
 -1.43353074e-06  3.19164899e-04]",0.067164,0
"[[228, 171], [291, 183], [248, 183], [269, 171], [259, 184], [271, 181], [232, 179], [295, 168]]",78,0.136899,0.023571,0.027767,"[-2.26780765e-03 -6.04412007e-02 -1.89799667e-04 -1.29526726e-06
 -1.56607176e-06  3.44114473e-04]",0.068534,0
"[[227, 171], [291, 184], [248, 183], [269, 171], [259, 184], [271, 180], [232, 179], [295, 168]]",79,0.136334,0.025175,0.028989,"[-1.74823114e-03 -5.80231626e-02 -1.74881132e-04 -1.32244072e-06
 -1.46519714e-06  3.25983918e-04]",0.067432,0
"[[228, 171], [291, 184], [248, 183], [270, 171], [259, 184], [271, 180], [232, 179], [295, 168]]",80,0.134934,0.025237,0.029054,"[-2.44264557e-03 -6.07902032e-02 -1.95251563e-04 -1.23207709e-06
 -1.57904509e-06  3.45939492e-04]",0.066518,0
"[[228, 171], [291, 184], [248, 183], [270, 171], [259, 184], [271, 180], [232, 179], [295, 168]]",81,0.126011,0.024511,0.028544,"[-2.44264557e-03 -6.07902032e-02 -1.95251563e-04 -1.23207709e-06
 -1.57904509e-06  3.45939492e-04]",0.056365,0
"[[228, 171], [291, 184], [248, 183], [270, 172], [259, 184], [271, 180], [232, 179], [295, 168]]",82,0.134299,0.024435,0.028174,"[-1.52151676e-03 -5.85191958e-02 -1.84800712e-04 -1.18539040e-06
 -1.49521619e-06  3.31440236e-04]",0.066755,0
"[[228, 171], [291, 184], [248, 183], [270, 172], [259, 184], [271, 180], [232, 179], [295, 169]]",83,0.133415,0.02355,0.027643,"[-9.80205944e-04 -5.77948086e-02 -1.79685317e-04 -1.18119900e-06
 -1.46075525e-06  3.28428646e-04]",0.066399,0
"[[228, 171], [291, 184], [248, 183], [270, 172], [259, 184], [271, 180], [232, 179], [295, 169]]",84,0.134292,0.023264,0.027576,"[-9.80205944e-04 -5.77948086e-02 -1.79685317e-04 -1.18119900e-06
 -1.46075525e-06  3.28428646e-04]",0.066983,0
"[[228, 171], [291, 184], [248, 183], [270, 172], [259, 184], [271, 180], [232, 179], [295, 169]]",85,0.135546,0.025299,0.029021,"[-9.80205944e-04 -5.77948086e-02 -1.79685317e-04 -1.18119900e-06
 -1.46075525e-06  3.28428646e-04]",0.066816,0
"[[228, 171], [291, 184], [248, 183], [270, 172], [259, 184], [271, 180], [232, 180], [296, 169]]",86,0.137155,0.024981,0.028811,"[-1.79027220e-03 -5.83557050e-02 -1.89759819e-04 -1.07043700e-06
 -1.47460324e-06  3.28348541e-04]",0.069729,0
